item sound pos task
186 PRAC 1 zString
184 PRAC 1 zString
185 PRAC 1 zString
181 PRAC 1 zString
182 PRAC 1 zString
183 PRAC 1 zString
1 STD 4 zString
2 STD 5 zString
3 STD 2 zString
38 DEV 5 zString
36 DEV 3 zString
30 STD 5 zString
8 STD 3 zString
21 STD 4 zString
24 STD 3 zString
26 STD 5 zString
47 DEV 2 zString
50 DEV 5 zString
6 STD 5 zString
42 DEV 5 zString
23 STD 2 zString
29 STD 4 zString
43 DEV 2 zString
35 DEV 2 zString
15 STD 2 zString
51 DEV 2 zString
16 STD 3 zString
33 DEV 4 zString
54 DEV 5 zString
46 DEV 5 zString
45 DEV 4 zString
18 STD 5 zString
19 STD 2 zString
10 STD 5 zString
59 DEV 2 zString
20 STD 3 zString
32 DEV 3 zString
49 DEV 4 zString
7 STD 2 zString
14 STD 5 zString
22 STD 5 zString
52 DEV 3 zString
40 DEV 3 zString
5 STD 4 zString
31 DEV 2 zString
13 STD 4 zString
17 STD 4 zString
34 DEV 5 zString
4 STD 3 zString
27 STD 2 zString
9 STD 4 zString
41 DEV 4 zString
53 DEV 4 zString
44 DEV 3 zString
58 DEV 5 zString
55 DEV 2 zString
56 DEV 3 zString
11 STD 2 zString
12 STD 3 zString
37 DEV 4 zString
48 DEV 3 zString
39 DEV 2 zString
25 STD 4 zString
28 STD 3 zString
57 DEV 4 zString
60 DEV 3 zString
89 SLC 4 zString
82 SLC 5 zString
79 SLC 2 zString
73 SLC 4 zString
86 SLC 5 zString
72 SLC 3 zString
74 SLC 5 zString
83 SLC 2 zString
84 SLC 3 zString
63 SLC 2 zString
81 SLC 4 zString
88 SLC 3 zString
67 SLC 2 zString
70 SLC 5 zString
61 SLC 4 zString
77 SLC 4 zString
75 SLC 2 zString
76 SLC 3 zString
85 SLC 4 zString
68 SLC 3 zString
69 SLC 4 zString
80 SLC 3 zString
65 SLC 4 zString
87 SLC 2 zString
90 SLC 5 zString
71 SLC 2 zString
62 SLC 5 zString
64 SLC 3 zString
66 SLC 5 zString
78 SLC 5 zString
190 PRAC 1 reading
189 PRAC 1 reading
188 PRAC 1 reading
187 PRAC 1 reading
192 PRAC 1 reading
191 PRAC 1 reading
91 STD 2 reading
92 STD 3 reading
93 STD 4 reading
118 STD 5 reading
123 DEV 2 reading
125 DEV 4 reading
143 DEV 2 reading
129 DEV 4 reading
135 DEV 2 reading
126 DEV 5 reading
127 DEV 2 reading
101 STD 4 reading
102 STD 5 reading
150 DEV 5 reading
113 STD 4 reading
142 DEV 5 reading
99 STD 2 reading
109 STD 4 reading
141 DEV 4 reading
124 DEV 3 reading
130 DEV 5 reading
145 DEV 4 reading
146 DEV 5 reading
106 STD 5 reading
97 STD 4 reading
115 STD 2 reading
137 DEV 4 reading
120 STD 3 reading
147 DEV 2 reading
107 STD 2 reading
140 DEV 3 reading
117 STD 4 reading
138 DEV 5 reading
119 STD 2 reading
94 STD 5 reading
148 DEV 3 reading
144 DEV 3 reading
111 STD 2 reading
105 STD 4 reading
122 DEV 5 reading
96 STD 3 reading
139 DEV 2 reading
100 STD 3 reading
131 DEV 2 reading
136 DEV 3 reading
98 STD 5 reading
110 STD 5 reading
112 STD 3 reading
121 DEV 4 reading
132 DEV 3 reading
114 STD 5 reading
134 DEV 5 reading
95 STD 2 reading
128 DEV 3 reading
133 DEV 4 reading
149 DEV 4 reading
104 STD 3 reading
103 STD 2 reading
116 STD 3 reading
108 STD 3 reading
153 SLC 4 reading
162 SLC 5 reading
176 SLC 3 reading
154 SLC 5 reading
155 SLC 2 reading
169 SLC 4 reading
175 SLC 2 reading
172 SLC 3 reading
167 SLC 2 reading
168 SLC 3 reading
166 SLC 5 reading
170 SLC 5 reading
164 SLC 3 reading
159 SLC 2 reading
158 SLC 5 reading
178 SLC 5 reading
161 SLC 4 reading
180 SLC 3 reading
177 SLC 4 reading
160 SLC 3 reading
163 SLC 2 reading
173 SLC 4 reading
179 SLC 2 reading
151 SLC 2 reading
165 SLC 4 reading
156 SLC 3 reading
157 SLC 4 reading
174 SLC 5 reading
171 SLC 2 reading
152 SLC 3 reading
